SMILES,Core_type
COc1cccc(Cl)c1C,3取代苯
COc1cccc(-c2cccs2)c1-c1cccs1,3取代苯
COc1cccc(OC)c1Cl,3取代苯
COc1cc(C)cc(C)c1,3取代苯
Fc1ccc(Br)c(Br)c1,3取代苯
Ic1c(-c2cccs2)cccc1-c1cccs1,3取代苯
N#Cc1ccc(F)cc1C#N,3取代苯
Cc1cccc(C#N)c1F,3取代苯
Ic1c(-c2ccccc2)cccc1-c1cccs1,3取代苯
COc1cc(F)cc(C#N)c1,3取代苯
Cc1cc(F)cc(-c2ccccc2)c1,3取代苯
N#Cc1cc(Cl)cc(Br)c1,3取代苯
Cc1cc(Cl)cc(C#N)c1,3取代苯
Oc1c(I)cccc1I,3取代苯
Cc1ccc(C)c(C#N)c1,3取代苯
Clc1cccc(Br)c1Cl,3取代苯
Oc1ccc(I)cc1-c1cccs1,3取代苯
COc1cccc(O)c1C,3取代苯
Oc1ccc(I)c(F)c1,3取代苯
N#Cc1ccc(-c2cccs2)c(O)c1,3取代苯
COc1cccc(F)c1Br,3取代苯
Fc1cc(Br)cc(I)c1,3取代苯
N#Cc1cccc(F)c1-c1ccccc1,3取代苯
Cc1cccc(O)c1Br,3取代苯
N#Cc1ccc(Br)c(Cl)c1,3取代苯
c1ccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)c2)cc1,3取代苯
COc1c(I)cccc1I,3取代苯
COc1cc(O)cc(OC)c1,3取代苯
COc1cc(O)ccc1O,3取代苯
Ic1ccc(-c2ccccc2)c(I)c1,3取代苯
N#Cc1cc(C#N)cc(-c2cccs2)c1,3取代苯
Oc1cc(-c2ccccc2)cc(-c2ccccc2)c1,3取代苯
N#Cc1cc(F)cc(Cl)c1,3取代苯
Oc1cc(-c2cccs2)cc(-c2cccs2)c1,3取代苯
Cc1cc(O)cc(C#N)c1,3取代苯
Clc1cc(Br)cc(Br)c1,3取代苯
Cc1cc(O)cc(Cl)c1,3取代苯
Fc1cc(Br)cc(-c2cccs2)c1,3取代苯
Fc1cc(Cl)cc(-c2cccs2)c1,3取代苯
Brc1cccc(-c2ccccc2)c1-c1ccccc1,3取代苯
Cc1cccc(Cl)c1I,3取代苯
COc1cc(F)cc(-c2cccs2)c1,3取代苯
N#Cc1ccc(I)cc1O,3取代苯
c1csc(-c2cccc(-c3cccs3)c2-c2cccs2)c1,3取代苯
Fc1cc(-c2cccs2)ccc1Br,3取代苯
Brc1cc(I)cc(-c2cccs2)c1,3取代苯
Clc1cccc(-c2ccccc2)c1-c1ccccc1,3取代苯
Oc1ccc(Cl)c(Cl)c1,3取代苯
Clc1cc(-c2ccccc2)cc(-c2cccs2)c1,3取代苯
COc1c(O)cccc1Br,3取代苯
Oc1cccc(Cl)c1Cl,3取代苯
Cc1cc(C#N)ccc1C#N,3取代苯
Fc1cccc(Br)c1-c1cccs1,3取代苯
Cc1ccc(-c2cccs2)cc1Cl,3取代苯
Oc1ccc(F)cc1-c1cccs1,3取代苯
Cc1cccc(Cl)c1Cl,3取代苯
COc1cc(Cl)cc(Cl)c1,3取代苯
Oc1ccc(F)c(Br)c1,3取代苯
