SMILES,Core_type,SAscore
c1ccc(-c2ccc(-c3ccccc3)c(-c3ccccc3)c2)cc1,3取代苯,1.295647138446478
COc1ccc(C)c(-c2ccccc2)c1,3取代苯,1.333055122381733
Brc1ccc(-c2cccs2)cc1-c1cccs1,3取代苯,2.1424478126097863
Fc1c(I)cccc1I,3取代苯,2.651881853379402
COc1ccc(I)cc1F,3取代苯,1.7952744948806405
Cc1c(C#N)cccc1-c1ccccc1,3取代苯,1.736325963168854
Fc1cc(Cl)cc(Cl)c1,3取代苯,1.7986183918409413
Clc1ccc(-c2ccccc2)cc1Cl,3取代苯,1.3072052010767532
COc1cccc(-c2ccccc2)c1Br,3取代苯,1.620659057981019
N#Cc1ccc(I)c(Br)c1,3取代苯,2.4596539820601286
N#Cc1ccc(-c2cccs2)c(-c2ccccc2)c1,3取代苯,1.9196030644036384
Cc1cc(Cl)ccc1C#N,3取代苯,1.8695975718037197
Oc1cc(F)cc(-c2cccs2)c1,3取代苯,2.0997120992811755
COc1ccc(F)cc1O,3取代苯,1.5932334692396175
COc1cccc(C)c1C#N,3取代苯,1.9192234132203065
Fc1cc(-c2ccccc2)cc(-c2cccs2)c1,3取代苯,1.7729277627117987
Cc1cc(-c2cccs2)ccc1I,3取代苯,2.114441413210489
COc1ccc(C#N)cc1-c1ccccc1,3取代苯,1.5867668699971613
Cc1ccc(Cl)cc1O,3取代苯,1.651041468764019
COc1ccc(-c2cccs2)c(O)c1,3取代苯,1.8915128933844443
COc1cc(F)cc(I)c1,3取代苯,2.096028341034488
Oc1cccc(F)c1Br,3取代苯,2.1877530072255578
Cc1cccc(C)c1Br,3取代苯,1.7956818533794028
COc1cc(C)cc(OC)c1,3取代苯,1.4803834132203058
Clc1cc(Br)cc(-c2ccccc2)c1,3取代苯,1.6060190472305997
COc1cc(C)ccc1Br,3取代苯,1.5838488538550006
N#Cc1cc(O)cc(Cl)c1,3取代苯,2.301700135906282
N#Cc1cc(C#N)cc(C#N)c1,3取代苯,2.4528833353800508
Fc1cccc(-c2cccs2)c1I,3取代苯,2.307123741692818
Cc1cc(-c2cccs2)ccc1Br,3取代苯,1.8870651138341898
